Nom;Prénom;Grade;Compagnie;Apte
François;Fillon;sdt;1;oui
François;de Rugy;sdt;2;oui
Hervé;Gaymard;sdt;3;oui
Aurélie;Filippetti;sdt;4;oui
Delphine;Batho;sdt;5;oui
Marion;Maréchal-Le Pen;cne;6;oui
Jacques;Bompard;sdt;7;oui
Xavier;Breton;sdt;1;oui
Christian;Bataille;sdt;2;oui
Michèle;Delaunay;sdt;3;oui
Marie-George;Buffet;sdt;4;oui
Valérie;Boyer;sdt;5;oui
Sylvia;Pinel;sdt;6;oui
Marie-Arlette;Carlotti;sdt;7;oui
Vincent;Burroni;sdt;1;oui
Nathalie;Kosciusko-Morizet;sdt;2;oui
Cécile;Duflot;sdt;3;oui
Édouard;Courtial;sdt;4;oui
Élisabeth;Guigou;sdt;5;oui
Henri;Jibrayel;cpl;6;oui
Geneviève;Fioraso;sdt;7;oui
Éric;Woerth;ltn;1;oui
Valérie;Fourneyron;ltn;2;oui
Françoise;Dumas;ltn;3;oui
Olivier;Dussopt;ltn;4;oui
Pascal;Terrasse;ltn;5;oui
Bérengère;Poletti;ltn;6;oui
Christophe;Léonard;ltn;7;oui
Sabine;Buis;ltn;1;oui
Alain;Fauré;ltn;2;oui
Jean-Claude;Perez;ltn;3;oui
Jean-Claude;Mathis;sdt;4;oui
Alfred;Marie-Jeanne;sdt;5;oui
Michèle;Tabarot;sdt;6;oui
Laurence;Dumont;sdt;7;oui
Yves;Censi;sdt;2;oui
Jean-Paul;Dupré;sdt;2;oui
Isabelle;Attard;cpl;2;oui
Marie-Line;Reynaud;sdt;2;oui
Germinal;Peiro;sdt;2;oui
Claudine;Schmid;sdt;2;oui
Jérôme;Lambert;sdt;2;oui
Didier;Quentin;sdt;2;oui
Nicolas;Bays;sdt;2;oui
Alain;Calmette;sdt;2;oui
Marie-Odile;Bouillé;sdt;2;oui
Jean-Jacques;Candelier;sdt;2;oui
Hugues;Fourage;sdt;2;oui
Christine;Pirès-Beaune;sdt;2;oui
Annie;Genevard;sdt;2;oui
Gérard;Charasse;sdt;2;oui
Yves;Fromion;sdt;2;oui
Nicolas;Sansu;sdt;2;oui
Yann;Galut;sdt;2;oui
Laurent;Marcangeli;sdt;2;oui
Sauveur;Gandolfi-Scheit;cpl;2;oui
Laurent;Grandguillaume;sdt;2;oui
Rémi;Delatte;ltn;2;oui
Patrick;Vignal;ltn;2;oui
Paul;Molac;ltn;2;oui
Paul;Salen;ltn;2;oui
Philip;Cordery;ltn;1;oui
Philippe;Baumel;ltn;2;oui
Philippe;Bies;ltn;3;oui
Philippe;Briand;ltn;5;oui
Philippe;Doucet;ltn;6;oui
Philippe;Folliot;ltn;1;oui
Philippe;Gosselin;ltn;2;oui
Philippe;Goujon;sdt;3;oui
Philippe;Houillon;sdt;5;oui
Philippe;Kemel;sdt;6;oui
Philippe;Le Ray;sdt;1;oui
Philippe Armand;Martin;sdt;2;oui
Philippe;Martin;cne;3;oui
Philippe;Noguès;sdt;5;oui
Philippe;Vigier;sdt;6;oui
Philippe;Vitel;sdt;1;oui
Pierre;Aylagas;ltn;2;oui
Pierre;Lequiller;ltn;3;oui
Pierre;Morange;ltn;5;oui
Pouria;Amirshahi;ltn;6;oui
Razzy;Hammadi;ltn;6;oui
Renaud;Gauquelin;ltn;1;oui
René;Dosière;ltn;2;oui
René;Rouquet;sdt;3;oui
Richard;Ferrand;sdt;5;oui
Roger-Gérard;Schwartzenberg;sdt;6;oui
Régis;Juanico;ltn;1;oui
Rémi;Pauvros;sdt;2;oui
Sandrine;Mazetier;sdt;3;oui
Serge;Bardy;sdt;4;oui
Serge;Grouard;sdt;5;oui
Serge;Janquin;sdt;6;oui
Sergio;Coronado;sdt;7;oui
Seybah;Dagoma;sdt;1;oui
Carole;Delga;sdt;2;oui
Catherine;Beaubatie;sch;3;oui
Catherine;Coutelle;sch;4;oui
Catherine;Quéré;sch;5;oui
Catherine;Troallic;sch;6;oui
Catherine;Vautrin;sch;7;oui
Chantal;Berthelot;sch;1;oui
